listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,property_type_primary,property_type_secondary,address,suburb,state,postcode,lat,lon,orientation_degrees,orientation_cardinal
12771453,570.0,,4.0,1.0,1.0,House,House,6 Christina Court,Avondale Heights,VIC,3034.0,-37.7731849,144.8591344,230.56509357591796,SW
12782776,410.0,1781.0,2.0,1.0,2.0,House,House,34 Yallourn Street,Ardeer,VIC,3022.0,-37.778966,144.805514,230.74108886419415,SW
12854853,650.0,2831.0,4.0,2.0,2.0,House,House,13 Zaika Close,Lalor,VIC,3075.0,-37.66451290000001,144.9980148,230.78207546451907,SW
12881206,795.0,3445.0,3.0,2.0,2.0,House,House,38b Dunstan Avenue,Brunswick,VIC,3056.0,-37.7592696,144.9735229,230.19347576744505,SW
12890481,689.0,2988.0,4.0,2.0,2.0,House,House,12 Moncrieff Pde,Point Cook,VIC,3030.0,-37.89252630000001,144.7346435,230.22312604242612,SW
12905114,355.0,1539.0,1.0,1.0,0.0,Apartment,Studio,9/515 Sydney Road,Brunswick,VIC,3056.0,-37.7650899,144.9622524,230.1984480234375,SW
12920840,500.0,2173.0,2.0,1.0,1.0,Townhouse/Villa,Townhouse,1B Eames Avenue,Brooklyn,VIC,3012.0,-37.8202635,144.8489513,230.27043184264545,SW
12921260,455.0,1977.0,2.0,1.0,2.0,Townhouse/Villa,Townhouse,A/1 Wood Street,Deer Park,VIC,3023.0,-37.7762855,144.7731762,230.8901847040319,SW
12948479,540.0,2346.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,706/300 Swanston Street,Melbourne,VIC,3000.0,-37.8105894,144.9646499,229.86164127733403,SW
12969386,749.0,4500.0,2.0,1.0,0.0,Apartment,Apartment / Unit / Flat,110/48 Blenheim Street,Balaclava,VIC,3183.0,-37.868556,144.9945741,229.32333283242042,SW
13003722,580.0,2520.0,4.0,2.0,2.0,House,House,83 Bensonhurst Parade,Point Cook,VIC,3030.0,-37.8849992,144.713829,230.35889137679075,SW
13029769,580.0,2520.0,2.0,2.0,1.0,Apartment,Apartment / Unit / Flat,218/80 Ormond Street,Kensington,VIC,3031.0,-37.7976481,144.9284097,230.1050556181054,SW
13098908,,5100.0,4.0,2.0,2.0,House,House,29 Dactyl Road,Moorabbin,VIC,3189.0,-37.9390408,145.0426004,228.62282199897777,SW
13120274,600.0,2607.0,2.0,2.0,1.0,Apartment,Apartment / Unit / Flat,801/1 Elland Avenue,Box Hill,VIC,3128.0,-37.8171347,145.1233806,229.14009218225144,SW
13124359,680.0,2955.0,2.0,1.0,0.0,Apartment,Apartment / Unit / Flat,4304/38 Rose Lane,Melbourne,VIC,3000.0,-37.8148884,144.9542283,229.8744147043584,SW
13150106,440.0,1912.0,1.0,1.0,1.0,Apartment,Apartment / Unit / Flat,4/26 Leonard Crescent,Ascot Vale,VIC,3032.0,-37.7849343,144.9066044,230.28626214242752,SW
13202315,1220.0,5301.0,3.0,2.0,2.0,House,House,148 Clark Street,Port Melbourne,VIC,3207.0,-37.8343665,144.9360983,229.81105873343992,SW
13203053,895.0,1450.0,2.0,1.0,2.0,Townhouse/Villa,Townhouse,1/24A Dickens Street,Elwood,VIC,3184.0,-37.8728396,144.9827839,229.34269722320667,SW
13284870,630.0,,3.0,2.0,1.0,Townhouse/Villa,Townhouse,5D Westminster Dr,Avondale Heights,VIC,3034.0,-37.7640906,144.8616774,230.62001479222548,SW
13289358,660.0,2867.0,2.0,1.0,2.0,House,House,23 Sargood St,Coburg,VIC,3058.0,-37.74755,144.963677,230.31922626822563,SW
13329754,370.0,1608.0,1.0,1.0,1.0,Apartment,Apartment / Unit / Flat,6/33 Newcastle Street,Newport,VIC,3015.0,-37.84052399999999,144.880144,229.99876726511945,SW
13336355,650.0,2824.0,2.0,1.0,5.0,House,House,137 Flemington Road,North Melbourne,VIC,3051.0,-37.796303,144.950224,230.02410137458958,SW
13338001,,,3.0,2.0,2.0,Townhouse/Villa,Townhouse,Forest Hill VIC 3131,Forest Hill,VIC,3131.0,-37.8347413,145.1727369,228.7991619655827,SW
13341488,425.0,,1.0,1.0,0.0,Apartment,Studio,77 Elgar Road,Burwood,VIC,3125.0,-37.8447135,145.1095136,229.0024266237771,SW
13342824,1000.0,6000.0,2.0,1.0,1.0,House,House,20 Medley Place,South Yarra,VIC,3141.0,-37.843228,144.993711,229.50682473907932,SW
13350377,600.0,2607.0,3.0,1.0,2.0,House,House,79 Challis Street,Newport,VIC,3015.0,-37.8428755,144.8729286,230.01175288033198,SW
13351218,920.0,3997.0,2.0,1.0,0.0,Apartment,Apartment / Unit / Flat,3908/639 Lonsdale St,Melbourne,VIC,3000.0,-37.8150105,144.9534188,229.87691820560553,SW
