listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,lat,lon,property_type_primary,property_type_secondary,address,suburb,state,postcode,source_file
17742495,390.0,1695.0,1.0,1.0,1.0,-37.7961058,144.8968929,Apartment,Apartment / Unit / Flat,2/34 Geelong Road,Footscray,VIC,3011,17742495.html
17742498,600.0,2608.0,2.0,2.0,1.0,-37.7418684,145.0415983,Townhouse/Villa,Townhouse,5/161 Southern Road,Heidelberg West,VIC,3081,17742498.html
17742501,550.0,2390.0,4.0,2.0,2.0,-37.5267291,144.9624131,House,House,5 Bookham Circuit,Kalkallo,VIC,3064,17742501.html
17742503,335.0,1340.0,1.0,1.0,0.0,-37.6781177,144.5773001,Apartment,Studio,1/55 O'Neills Road,Melton,VIC,3337,17742503.html
17742508,500.0,2173.0,2.0,1.0,1.0,-37.7653562,144.9625622,Apartment,Apartment / Unit / Flat,532A Sydney Road,Brunswick,VIC,3056,17742508.html
17742511,450.0,1955.0,4.0,2.0,2.0,-37.4301863,144.9972044,House,House,37 Smilax Street,Wallan,VIC,3756,17742511.html
17742514,570.0,2477.0,4.0,2.0,2.0,-37.68426609999999,145.0084308,House,House,5 Harding Street,Thomastown,VIC,3074,17742514.html
17742515,500.0,2173.0,2.0,1.0,1.0,-37.882492,145.0534574,Apartment,Apartment / Unit / Flat,2/2 Wilmot Street,Malvern East,VIC,3145,17742515.html
17742517,750.0,3259.0,3.0,2.0,1.0,-37.8012172,145.0620879,Apartment,Apartment / Unit / Flat,1/1349 Burke Rd,Kew,VIC,3101,17742517.html
17742519,490.0,2129.0,3.0,2.0,1.0,-37.8390973,144.6494871,House,House,18 Harker Esplanade,Tarneit,VIC,3029,17742519.html
17742531,850.0,,3.0,2.0,2.0,-37.7841183,145.0261518,Apartment,Apartment / Unit / Flat,301/26 Paper Trail,Alphington,VIC,3078,17742531.html
17742537,560.0,2433.0,2.0,1.0,1.0,-37.91871740000001,145.108169,Apartment,Apartment / Unit / Flat,7/6 Olinda Grove,Oakleigh South,VIC,3167,17742537.html
17742540,430.0,1863.0,3.0,2.0,2.0,-38.1149865,144.6489379,House,House,2 High Street,Portarlington,VIC,3223,17742540.html
17742542,600.0,2607.0,4.0,2.0,2.0,-38.0733097,145.3650703,Townhouse/Villa,Townhouse,82 Carnival Boulevard,Berwick,VIC,3806,17742542.html
17742543,1350.0,5866.0,4.0,3.0,2.0,-37.9084423,145.0427751,Townhouse/Villa,Townhouse,76 Murray Rd,McKinnon,VIC,3204,17742543.html
17742551,665.0,2889.0,3.0,1.0,1.0,-37.7777811,144.9264818,House,House,46 South Street,Ascot Vale,VIC,3032,17742551.html
17742552,1350.0,5866.0,4.0,3.0,2.0,-37.908413,145.0427809,Townhouse/Villa,Townhouse,78 Murray Rd,McKinnon,VIC,3204,17742552.html
17742556,1200.0,7821.0,3.0,2.0,2.0,-37.769911,145.0893777,House,House,Bulleen VIC 3105,Bulleen,VIC,3105,17742556.html
17742561,450.0,1955.0,2.0,2.0,1.0,-37.63043860000001,145.0285237,Apartment,Apartment / Unit / Flat,101/82 Epping Road,Epping,VIC,3076,17742561.html
17742565,470.0,2024.0,2.0,1.0,1.0,-36.7736153,144.2435664,Apartment,Apartment / Unit / Flat,2/6 Magazine Boulevard,Golden Square,VIC,3555,17742565.html
17742572,740.0,3215.0,3.0,1.0,1.0,-37.8862133,145.0509964,House,House,5 Buckley St,Carnegie,VIC,3163,17742572.html
17742575,550.0,2390.0,4.0,2.0,2.0,-37.8762126,144.5861534,House,House,7 BRUSHTON STREET,Manor Lakes,VIC,3024,17742575.html
17742576,800.0,3476.0,3.0,2.0,0.0,-37.7514474,144.954046,House,House,1/40 Shaftsbury Street,Coburg,VIC,3058,17742576.html
17742577,590.0,2564.0,2.0,1.0,1.0,-37.8228565,145.0458156,Apartment,Apartment / Unit / Flat,215/2A Montrose Place,Hawthorn East,VIC,3123,17742577.html
17742581,460.0,1999.0,2.0,1.0,1.0,-38.3675191,142.4941586,Townhouse/Villa,Townhouse,62 Hayley Drive,Warrnambool,VIC,3280,17742581.html
17742583,200.0,800.0,1.0,1.0,1.0,-37.67930860000001,144.5862521,Apartment,Studio,11 Essex Drive,Melton,VIC,3337,17742583.html
17742593,800.0,3476.0,5.0,3.0,2.0,-38.0527705,145.4224994,House,House,6 Ecology Crescent,Officer,VIC,3809,17742593.html
17742607,550.0,2200.0,3.0,1.0,2.0,-38.298665,145.1760736,House,House,6 Gascoyne Ct,Hastings,VIC,3915,17742607.html
17742612,400.0,,1.0,1.0,1.0,-37.7704284,144.9508766,Apartment,Apartment / Unit / Flat,1/95 Dawson Road,Brunswick,VIC,3056,17742612.html
17742613,550.0,2390.0,1.0,1.0,0.0,-37.8508643,144.9819676,Apartment,Apartment / Unit / Flat,601/603 St Kilda Road,Melbourne,VIC,3004,17742613.html
17742625,460.0,1999.0,4.0,2.0,2.0,-37.7172327,144.5578716,House,House,47 Corbet Street,Weir Views,VIC,3338,17742625.html
17742626,460.0,1999.0,1.0,1.0,0.0,-37.7493432,145.002519,Apartment,Apartment / Unit / Flat,701/70-82 High Street,Preston,VIC,3072,17742626.html
17742632,620.0,,4.0,1.0,2.0,-37.949611,145.2176568,House,House,85 Outlook Drive,Dandenong North,VIC,3175,17742632.html
17742634,500.0,2173.0,2.0,1.0,1.0,-37.7686538,144.9053799,Apartment,Apartment / Unit / Flat,4/23 Scotia Street,Moonee Ponds,VIC,3039,17742634.html
17742636,585.0,2541.0,3.0,1.0,4.0,-38.2375021,145.035216,House,House,2 Nepean Place,Mornington,VIC,3931,17742636.html
17742637,300.0,1213.0,2.0,1.0,1.0,-34.2054844,142.1393953,Apartment,Apartment / Unit / Flat,7/382 Deakin Avenue,Mildura,VIC,3500,17742637.html
17742643,600.0,2607.0,4.0,2.0,2.0,-38.0494789,145.4054406,House,House,72 Duncombe Avenue,Officer,VIC,3809,17742643.html
17742646,520.0,2166.0,4.0,2.0,2.0,-37.82988,147.65588,House,House,8 Nielsen Way,East Bairnsdale,VIC,3875,17742646.html
17742654,1521.0,1521.0,1.0,1.0,1.0,-37.78419420000001,144.8273159,Apartment,Apartment / Unit / Flat,9/129 Anderson Road,Albion,VIC,3020,17742654.html
17742660,550.0,2390.0,1.0,1.0,0.0,-37.8121737,144.9582451,Apartment,Apartment / Unit / Flat,1008/380 Little Lonsdale Street,Melbourne,VIC,3000,17742660.html
17742662,495.0,2172.0,1.0,1.0,0.0,-37.8443409,145.0037431,Apartment,Apartment / Unit / Flat,11/219 Williams Road,South Yarra,VIC,3141,17742662.html
17742663,650.0,2824.0,2.0,1.0,1.0,-37.8136016,144.9532779,Apartment,Apartment / Unit / Flat,104/538 Little Lonsdale Street,Melbourne,VIC,3000,17742663.html
17742669,330.0,1320.0,1.0,1.0,0.0,-37.9181507,145.1286555,Apartment,Studio,8 Atlantic Street,Clayton,VIC,3168,17742669.html
17742671,480.0,2086.0,2.0,1.0,0.0,-37.8603587,144.9784199,Apartment,Apartment / Unit / Flat,28 Grey Street,St Kilda,VIC,3182,17742671.html
17742675,830.0,3596.0,4.0,2.0,2.0,-38.0118573,145.3195038,House,House,34 Shinners Avenue,Berwick,VIC,3806,17742675.html
17742679,515.0,2238.0,2.0,1.0,1.0,-37.8748342,145.040534,Apartment,Apartment / Unit / Flat,402/833 Dandenong Rd,Malvern East,VIC,3145,17742679.html
